Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
largebio,MatcherHTTPCall,ALL,0.3793747083527765,0.6745768337205443,0.6273280121626758,0.4856340720387074,0.3793747083527765,0.6745768337205443,0.6273280121626758,0.4856340720387074,4065,3301,6650,1961,12798,334009909546,00:05:34
largebio,MatcherHTTPCall,CLASSES,0.3793747083527765,0.6745768337205443,0.6273280121626758,0.4856340720387074,0.3793747083527765,0.6745768337205443,0.6273280121626758,0.4856340720387074,4065,3301,6650,1961,12798,-,-
largebio,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
largebio,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
