Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,31,12,20,123,493753414240,00:08:13
CLASSES,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,31,12,20,123,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
