Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.2685034041920631,0.7481110066973383,0.4829534844240725,0.3951751024974199,0.23076923076923078,0.7278688524590164,0.4876543209876543,0.3504340962904499,222,79,740,83,962,85795363894,00:01:25
CLASSES,0.32613845735308655,0.7950210248265169,0.46808390022675733,0.46253353732712554,0.2528445006321112,0.7722007722007722,0.5,0.38095238095238093,200,59,591,59,791,-,-
PROPERTIES,0.10360836253693397,0.33174603174603173,0.326984126984127,0.15790199239377212,0.1286549707602339,0.4782608695652174,0.45454545454545453,0.20276497695852536,22,20,149,24,171,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
