Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
biodiv,envo-sweet,MatcherHTTPCall,ALL,0.11555857078245138,0.770739064856712,0.5323076923076923,0.2009832841691249,511,3911,152,4422,44982504697,00:00:44
biodiv,envo-sweet,MatcherHTTPCall,CLASSES,0.11561085972850679,0.770739064856712,0.5323076923076923,0.20106236474522918,511,3909,152,4420,-,-
biodiv,envo-sweet,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0,2,0,2,-,-
biodiv,envo-sweet,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
biodiv,flopo-pto,MatcherHTTPCall,ALL,0.1136208076659822,0.680327868852459,0.2571428571428571,0.19472140762463344,166,1295,78,1461,129302401068,00:02:09
biodiv,flopo-pto,MatcherHTTPCall,CLASSES,0.1136986301369863,0.6831275720164609,0.25961538461538464,0.19495008807985909,166,1294,77,1460,-,-
biodiv,flopo-pto,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0,1,0,1,-,-
biodiv,flopo-pto,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
