Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.15927367055771724,0.9927243330638642,0.9324324324324325,0.27450542081144513,0.15927367055771724,0.9927243330638642,0.9324324324324325,0.27450542081144513,1228,69,6482,9,7710,224386041346,00:03:44
CLASSES,0.15927367055771724,0.9927243330638642,0.9324324324324325,0.27450542081144513,0.15927367055771724,0.9927243330638642,0.9324324324324325,0.27450542081144513,1228,69,6482,9,7710,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
