Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
knowledgegraph,nell-dbpedia,MatcherHTTPCall,ALL,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,12,20,123,493753414240,00:08:13
knowledgegraph,nell-dbpedia,MatcherHTTPCall,CLASSES,0.9008264462809917,0.8449612403100775,0.6078431372549019,0.8719999999999999,109,12,20,123,-,-
knowledgegraph,nell-dbpedia,MatcherHTTPCall,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
knowledgegraph,nell-dbpedia,MatcherHTTPCall,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
