numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,threshold,lenOfSubclassOf,typesOfEmbeddings
1384,30130,0.04593428476601394,0.9129287598944591,0.08746761044049801,0.7,1.0,['entity']
1361,24484,0.05558732233295213,0.8977572559366754,0.1046923076923077,0.75,1.0,['entity']
1280,13078,0.09787429270530662,0.8443271767810027,0.1754145539262711,0.8,1.0,['entity']
1154,3541,0.3258966393674103,0.7612137203166227,0.4563970733636543,0.85,1.0,['entity']
1069,1643,0.6506390748630554,0.7051451187335093,0.6767964545742324,0.9,1.0,['entity']
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,['entity']
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,['entity']
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,['entity']
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,['entity']
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,['entity']
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,['entity']
1386,31197,0.04442734878353688,0.9142480211081794,0.08473695472747837,0.7,1.0,['triple']
1368,26844,0.05096110862762628,0.9023746701846965,0.09647390691114245,0.75,1.0,['triple']
1326,16859,0.07865235185954089,0.8746701846965699,0.1443265306122449,0.8,1.0,['triple']
1189,5094,0.23341185708676876,0.7843007915567283,0.35975794251134646,0.85,1.0,['triple']
1081,1706,0.6336459554513482,0.7130606860158312,0.6710117939168219,0.9,1.0,['triple']
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,['triple']
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,['triple']
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,['triple']
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,['triple']
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,['triple']
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,['triple']
1384,30130,0.04593428476601394,0.9129287598944591,0.08746761044049801,0.7,1.0,['path']
1361,24484,0.05558732233295213,0.8977572559366754,0.1046923076923077,0.75,1.0,['path']
1280,13078,0.09787429270530662,0.8443271767810027,0.1754145539262711,0.8,1.0,['path']
1154,3541,0.3258966393674103,0.7612137203166227,0.4563970733636543,0.85,1.0,['path']
1069,1643,0.6506390748630554,0.7051451187335093,0.6767964545742324,0.9,1.0,['path']
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,['path']
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,['path']
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,['path']
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,['path']
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,['path']
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,['path']
1386,31197,0.04442734878353688,0.9142480211081794,0.08473695472747837,0.7,1.0,"['entity', 'triple']"
1368,26844,0.05096110862762628,0.9023746701846965,0.09647390691114245,0.75,1.0,"['entity', 'triple']"
1326,16859,0.07865235185954089,0.8746701846965699,0.1443265306122449,0.8,1.0,"['entity', 'triple']"
1189,5094,0.23341185708676876,0.7843007915567283,0.35975794251134646,0.85,1.0,"['entity', 'triple']"
1081,1706,0.6336459554513482,0.7130606860158312,0.6710117939168219,0.9,1.0,"['entity', 'triple']"
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,"['entity', 'triple']"
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,"['entity', 'triple']"
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,"['entity', 'triple']"
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,"['entity', 'triple']"
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,"['entity', 'triple']"
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,"['entity', 'triple']"
1384,30130,0.04593428476601394,0.9129287598944591,0.08746761044049801,0.7,1.0,"['entity', 'path']"
1361,24484,0.05558732233295213,0.8977572559366754,0.1046923076923077,0.75,1.0,"['entity', 'path']"
1280,13078,0.09787429270530662,0.8443271767810027,0.1754145539262711,0.8,1.0,"['entity', 'path']"
1154,3541,0.3258966393674103,0.7612137203166227,0.4563970733636543,0.85,1.0,"['entity', 'path']"
1069,1643,0.6506390748630554,0.7051451187335093,0.6767964545742324,0.9,1.0,"['entity', 'path']"
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,"['entity', 'path']"
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,"['entity', 'path']"
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,"['entity', 'path']"
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,"['entity', 'path']"
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,"['entity', 'path']"
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,"['entity', 'path']"
1386,31197,0.04442734878353688,0.9142480211081794,0.08473695472747837,0.7,1.0,"['triple', 'path']"
1368,26844,0.05096110862762628,0.9023746701846965,0.09647390691114245,0.75,1.0,"['triple', 'path']"
1326,16859,0.07865235185954089,0.8746701846965699,0.1443265306122449,0.8,1.0,"['triple', 'path']"
1189,5094,0.23341185708676876,0.7843007915567283,0.35975794251134646,0.85,1.0,"['triple', 'path']"
1081,1706,0.6336459554513482,0.7130606860158312,0.6710117939168219,0.9,1.0,"['triple', 'path']"
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,"['triple', 'path']"
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,"['triple', 'path']"
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,"['triple', 'path']"
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,"['triple', 'path']"
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,"['triple', 'path']"
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,"['triple', 'path']"
1386,31197,0.04442734878353688,0.9142480211081794,0.08473695472747837,0.7,1.0,"['entity', 'triple', 'path']"
1368,26844,0.05096110862762628,0.9023746701846965,0.09647390691114245,0.75,1.0,"['entity', 'triple', 'path']"
1326,16859,0.07865235185954089,0.8746701846965699,0.1443265306122449,0.8,1.0,"['entity', 'triple', 'path']"
1189,5094,0.23341185708676876,0.7843007915567283,0.35975794251134646,0.85,1.0,"['entity', 'triple', 'path']"
1081,1706,0.6336459554513482,0.7130606860158312,0.6710117939168219,0.9,1.0,"['entity', 'triple', 'path']"
1031,1094,0.9424131627056673,0.6800791556728232,0.7900383141762451,0.94,1.0,"['entity', 'triple', 'path']"
1025,1065,0.9624413145539906,0.6761213720316622,0.7942657884540875,0.95,1.0,"['entity', 'triple', 'path']"
1022,1046,0.9770554493307839,0.6741424802110818,0.7978142076502733,0.96,1.0,"['entity', 'triple', 'path']"
1021,1039,0.9826756496631376,0.6734828496042217,0.7992172211350294,0.97,1.0,"['entity', 'triple', 'path']"
1018,1034,0.9845261121856866,0.6715039577836411,0.7984313725490196,0.98,1.0,"['entity', 'triple', 'path']"
1018,1031,0.9873908826382153,0.6715039577836411,0.7993718099725168,0.99,1.0,"['entity', 'triple', 'path']"
1397,29731,0.04698799233123676,0.9215039577836411,0.08941658399206323,0.7,2.0,['entity']
1367,22122,0.06179368953982461,0.9017150395778364,0.1156612234537609,0.75,2.0,['entity']
1234,10903,0.11317985875447124,0.8139841688654353,0.19872775585795957,0.8,2.0,['entity']
1109,3206,0.34591391141609484,0.7315303430079155,0.46971622193985596,0.85,2.0,['entity']
1046,1805,0.5795013850415512,0.6899736147757256,0.629930743751882,0.9,2.0,['entity']
1023,1098,0.9316939890710383,0.674802110817942,0.782708492731446,0.94,2.0,['entity']
