Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.11399306129192135,0.9913793103448276,0.8214285714285714,0.20447473699807378,0.11399306129192135,0.9913793103448276,0.8214285714285714,0.20447473699807378,690,23,5363,6,6053,234576132780,00:03:54
CLASSES,0.1140118968935889,0.9913793103448276,0.8214285714285714,0.20450503852993482,0.1140118968935889,0.9913793103448276,0.8214285714285714,0.20450503852993482,690,23,5362,6,6052,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
