,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,test_case,similarity,similarity_threshold,similarity_cutoff,matching_pairing
680,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7600000000000002,0.7210308512741928,many-to-many
677,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7500000000000002,0.7210308512741928,many-to-many
671,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7300000000000002,0.7210308512741928,many-to-many
674,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7400000000000002,0.7210308512741928,many-to-many
686,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7800000000000002,0.7210308512741928,many-to-many
683,15,22,24,0.9166666666666666,1.4666666666666666,1.128205128205128,iasted-sigkdd,string_context_similarity,0.7700000000000002,0.7210308512741928,many-to-many
698,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.8200000000000003,0.7855737438055462,many-to-many
695,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.8100000000000003,0.7855737438055462,many-to-many
692,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.8000000000000003,0.7855737438055462,many-to-many
689,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.7900000000000003,0.7855737438055462,many-to-many
701,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.8300000000000003,0.7855737438055462,many-to-many
704,15,20,22,0.9090909090909091,1.3333333333333333,1.081081081081081,iasted-sigkdd,string_context_similarity,0.8400000000000003,0.7855737438055462,many-to-many
596,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,label_embeddings_wd_similarity,0.9800000000000004,0.9334972398481153,many-to-many
608,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.52,0.2744002430037027,many-to-many
668,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.7200000000000002,0.2744002430037027,many-to-many
587,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,label_embeddings_wd_similarity,0.9500000000000004,0.9334972398481153,many-to-many
611,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.53,0.2744002430037027,many-to-many
71,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_similarity,0.7300000000000002,0.36787944117144233,many-to-many
590,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,label_embeddings_wd_similarity,0.9600000000000004,0.9334972398481153,many-to-many
656,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.6800000000000002,0.2744002430037027,many-to-many
665,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.7100000000000002,0.2744002430037027,many-to-many
86,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_similarity,0.7800000000000002,0.36787944117144233,many-to-many
605,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_context_similarity,0.51,0.2744002430037027,many-to-many
77,15,22,26,0.8461538461538461,1.4666666666666666,1.073170731707317,iasted-sigkdd,string_similarity,0.7500000000000002,0.36787944117144233,many-to-many
