,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,test_case
0,15,12,13,0.9230769230769231,0.8,0.8571428571428572,iasted-sigkdd
0,7,5,5,1.0,0.7142857142857143,0.8333333333333334,confof-sigkdd
0,23,10,13,0.7692307692307693,0.43478260869565216,0.5555555555555556,edas-ekaw
0,15,9,11,0.8181818181818182,0.6,0.6923076923076923,conference-sigkdd
0,19,8,9,0.8888888888888888,0.42105263157894735,0.5714285714285714,edas-iasted
0,15,5,10,0.5,0.3333333333333333,0.4,cmt-conference
0,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted
0,16,5,6,0.8333333333333334,0.3125,0.45454545454545453,cmt-confof
0,20,9,10,0.9,0.45,0.6,confof-ekaw
0,12,10,11,0.9090909090909091,0.8333333333333334,0.8695652173913044,cmt-sigkdd
0,19,11,13,0.8461538461538461,0.5789473684210527,0.6875,confof-edas
0,11,5,5,1.0,0.45454545454545453,0.625,cmt-ekaw
0,15,10,11,0.9090909090909091,0.6666666666666666,0.7692307692307692,conference-confof
0,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted
0,15,9,10,0.9,0.6,0.72,edas-sigkdd
0,14,4,5,0.8,0.2857142857142857,0.42105263157894735,conference-iasted
0,11,7,7,1.0,0.6363636363636364,0.7777777777777779,ekaw-sigkdd
0,10,6,6,1.0,0.6,0.7499999999999999,ekaw-iasted
0,17,9,13,0.6923076923076923,0.5294117647058824,0.6000000000000001,conference-edas
0,13,10,13,0.7692307692307693,0.7692307692307693,0.7692307692307694,cmt-edas
0,25,9,14,0.6428571428571429,0.36,0.46153846153846156,conference-ekaw
