,test_case,method,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1
34,edas-ekaw,target2source:match_label_embeddings_OT(nn),23,4,13,0.3076923076923077,0.17391304347826086,0.2222222222222222
35,edas-ekaw,combined:match_label_embeddings_OT(nn),23,4,16,0.25,0.17391304347826086,0.20512820512820512
36,edas-ekaw,source2target:label_features+embeddings_OT(nn),23,15,31,0.4838709677419355,0.6521739130434783,0.5555555555555556
37,edas-ekaw,target2source:label_features+embeddings_OT(nn),23,15,28,0.5357142857142857,0.6521739130434783,0.5882352941176471
38,edas-ekaw,combined:label_features+embeddings_OT(nn),23,15,31,0.4838709677419355,0.6521739130434783,0.5555555555555556
39,edas-ekaw,source2target:match_label_embeddings_OT(topn),23,6,1760,0.003409090909090909,0.2608695652173913,0.006730229949523275
40,edas-ekaw,target2source:match_label_embeddings_OT(topn),23,6,1160,0.005172413793103448,0.2608695652173913,0.010143702451394758
41,edas-ekaw,combined:match_label_embeddings_OT(topn),23,6,1856,0.003232758620689655,0.2608695652173913,0.00638637573177222
42,edas-ekaw,source2target:label_features+embeddings_OT(topn),23,17,1775,0.009577464788732394,0.7391304347826086,0.018909899888765295
43,edas-ekaw,target2source:label_features+embeddings_OT(topn),23,17,1175,0.01446808510638298,0.7391304347826086,0.028380634390651086
44,edas-ekaw,combined:label_features+embeddings_OT(topn),23,17,1871,0.009086050240513094,0.7391304347826086,0.01795142555438226
45,conference-sigkdd,source2target:match_label_features,15,8,9,0.8888888888888888,0.5333333333333333,0.6666666666666666
46,conference-sigkdd,target2source:match_label_features,15,8,9,0.8888888888888888,0.5333333333333333,0.6666666666666666
47,conference-sigkdd,combined:match_label_features,15,8,9,0.8888888888888888,0.5333333333333333,0.6666666666666666
48,conference-sigkdd,source2target:match_label_embeddings_OT(nn),15,3,8,0.375,0.2,0.2608695652173913
49,conference-sigkdd,target2source:match_label_embeddings_OT(nn),15,3,6,0.5,0.2,0.2857142857142857
50,conference-sigkdd,combined:match_label_embeddings_OT(nn),15,3,8,0.375,0.2,0.2608695652173913
51,conference-sigkdd,source2target:label_features+embeddings_OT(nn),15,11,17,0.6470588235294118,0.7333333333333333,0.6875
52,conference-sigkdd,target2source:label_features+embeddings_OT(nn),15,11,15,0.7333333333333333,0.7333333333333333,0.7333333333333333
53,conference-sigkdd,combined:label_features+embeddings_OT(nn),15,11,17,0.6470588235294118,0.7333333333333333,0.6875
54,conference-sigkdd,source2target:match_label_embeddings_OT(topn),15,3,1000,0.003,0.2,0.005911330049261084
55,conference-sigkdd,target2source:match_label_embeddings_OT(topn),15,3,800,0.00375,0.2,0.007361963190184048
56,conference-sigkdd,combined:match_label_embeddings_OT(topn),15,3,1083,0.002770083102493075,0.2,0.00546448087431694
57,conference-sigkdd,source2target:label_features+embeddings_OT(topn),15,11,1009,0.010901883052527254,0.7333333333333333,0.021484375
58,conference-sigkdd,target2source:label_features+embeddings_OT(topn),15,11,809,0.013597033374536464,0.7333333333333333,0.026699029126213594
59,conference-sigkdd,combined:label_features+embeddings_OT(topn),15,11,1092,0.010073260073260074,0.7333333333333333,0.019873532068654023
60,edas-iasted,source2target:match_label_features,19,8,12,0.6666666666666666,0.42105263157894735,0.5161290322580645
61,edas-iasted,target2source:match_label_features,19,8,12,0.6666666666666666,0.42105263157894735,0.5161290322580645
62,edas-iasted,combined:match_label_features,19,8,12,0.6666666666666666,0.42105263157894735,0.5161290322580645
63,edas-iasted,source2target:match_label_embeddings_OT(nn),19,4,14,0.2857142857142857,0.21052631578947367,0.24242424242424243
64,edas-iasted,target2source:match_label_embeddings_OT(nn),19,4,12,0.3333333333333333,0.21052631578947367,0.25806451612903225
65,edas-iasted,combined:match_label_embeddings_OT(nn),19,4,14,0.2857142857142857,0.21052631578947367,0.24242424242424243
66,edas-iasted,source2target:label_features+embeddings_OT(nn),19,12,26,0.46153846153846156,0.631578947368421,0.5333333333333333
67,edas-iasted,target2source:label_features+embeddings_OT(nn),19,12,24,0.5,0.631578947368421,0.5581395348837209
68,edas-iasted,combined:label_features+embeddings_OT(nn),19,12,26,0.46153846153846156,0.631578947368421,0.5333333333333333
69,edas-iasted,source2target:match_label_embeddings_OT(topn),19,7,1820,0.0038461538461538464,0.3684210526315789,0.007612833061446438
70,edas-iasted,target2source:match_label_embeddings_OT(topn),19,8,2560,0.003125,0.42105263157894735,0.006203955021326095
71,edas-iasted,combined:match_label_embeddings_OT(topn),19,8,2702,0.0029607698001480384,0.42105263157894735,0.005880191106210952
72,edas-iasted,source2target:label_features+embeddings_OT(topn),19,15,1832,0.008187772925764192,0.7894736842105263,0.01620745542949757
73,edas-iasted,target2source:label_features+embeddings_OT(topn),19,16,2572,0.006220839813374806,0.8421052631578947,0.012350443844075647
74,edas-iasted,combined:label_features+embeddings_OT(topn),19,16,2714,0.0058953574060427415,0.8421052631578947,0.011708744968898645
75,cmt-conference,source2target:match_label_features,15,5,7,0.7142857142857143,0.3333333333333333,0.45454545454545453
76,cmt-conference,target2source:match_label_features,15,5,7,0.7142857142857143,0.3333333333333333,0.45454545454545453
77,cmt-conference,combined:match_label_features,15,5,7,0.7142857142857143,0.3333333333333333,0.45454545454545453
78,cmt-conference,source2target:match_label_embeddings_OT(nn),15,3,7,0.42857142857142855,0.2,0.2727272727272727
79,cmt-conference,target2source:match_label_embeddings_OT(nn),15,4,10,0.4,0.26666666666666666,0.32
80,cmt-conference,combined:match_label_embeddings_OT(nn),15,4,10,0.4,0.26666666666666666,0.32
81,cmt-conference,source2target:label_features+embeddings_OT(nn),15,8,14,0.5714285714285714,0.5333333333333333,0.5517241379310345
82,cmt-conference,target2source:label_features+embeddings_OT(nn),15,9,17,0.5294117647058824,0.6,0.5625
83,cmt-conference,combined:label_features+embeddings_OT(nn),15,9,17,0.5294117647058824,0.6,0.5625
84,cmt-conference,source2target:match_label_embeddings_OT(topn),15,6,440,0.013636363636363636,0.4,0.02637362637362637
85,cmt-conference,target2source:match_label_embeddings_OT(topn),15,6,1040,0.0057692307692307696,0.4,0.01137440758293839
86,cmt-conference,combined:match_label_embeddings_OT(topn),15,6,1057,0.005676442762535478,0.4,0.01119402985074627
87,cmt-conference,source2target:label_features+embeddings_OT(topn),15,11,447,0.024608501118568233,0.7333333333333333,0.047619047619047616
88,cmt-conference,target2source:label_features+embeddings_OT(topn),15,11,1047,0.010506208213944603,0.7333333333333333,0.02071563088512241
89,cmt-conference,combined:label_features+embeddings_OT(topn),15,11,1064,0.010338345864661654,0.7333333333333333,0.020389249304911955
90,cmt-iasted,source2target:match_label_features,4,4,5,0.8,1.0,0.8888888888888888
91,cmt-iasted,target2source:match_label_features,4,4,5,0.8,1.0,0.8888888888888888
92,cmt-iasted,combined:match_label_features,4,4,5,0.8,1.0,0.8888888888888888
93,cmt-iasted,source2target:match_label_embeddings_OT(nn),4,0,7,0.0,0.0,0.0
94,cmt-iasted,target2source:match_label_embeddings_OT(nn),4,0,12,0.0,0.0,0.0
95,cmt-iasted,combined:match_label_embeddings_OT(nn),4,0,12,0.0,0.0,0.0
96,cmt-iasted,source2target:label_features+embeddings_OT(nn),4,4,12,0.3333333333333333,1.0,0.5
97,cmt-iasted,target2source:label_features+embeddings_OT(nn),4,4,17,0.23529411764705882,1.0,0.38095238095238093
98,cmt-iasted,combined:label_features+embeddings_OT(nn),4,4,17,0.23529411764705882,1.0,0.38095238095238093
99,cmt-iasted,source2target:match_label_embeddings_OT(topn),4,0,480,0.0,0.0,0.0
100,cmt-iasted,target2source:match_label_embeddings_OT(topn),4,0,2700,0.0,0.0,0.0
101,cmt-iasted,combined:match_label_embeddings_OT(topn),4,0,2700,0.0,0.0,0.0
102,cmt-iasted,source2target:label_features+embeddings_OT(topn),4,4,485,0.008247422680412371,1.0,0.016359918200409
103,cmt-iasted,target2source:label_features+embeddings_OT(topn),4,4,2705,0.0014787430683918669,1.0,0.0029531192321889995
104,cmt-iasted,combined:label_features+embeddings_OT(topn),4,4,2705,0.0014787430683918669,1.0,0.0029531192321889995
105,cmt-confof,source2target:match_label_features,16,4,5,0.8,0.25,0.38095238095238093
106,cmt-confof,target2source:match_label_features,16,4,5,0.8,0.25,0.38095238095238093
107,cmt-confof,combined:match_label_features,16,4,5,0.8,0.25,0.38095238095238093
108,cmt-confof,source2target:match_label_embeddings_OT(nn),16,2,5,0.4,0.125,0.19047619047619047
109,cmt-confof,target2source:match_label_embeddings_OT(nn),16,2,6,0.3333333333333333,0.125,0.18181818181818182
110,cmt-confof,combined:match_label_embeddings_OT(nn),16,2,6,0.3333333333333333,0.125,0.18181818181818182
111,cmt-confof,source2target:label_features+embeddings_OT(nn),16,6,10,0.6,0.375,0.46153846153846156
112,cmt-confof,target2source:label_features+embeddings_OT(nn),16,6,11,0.5454545454545454,0.375,0.4444444444444444
113,cmt-confof,combined:label_features+embeddings_OT(nn),16,6,11,0.5454545454545454,0.375,0.4444444444444444
114,cmt-confof,source2target:match_label_embeddings_OT(topn),16,2,480,0.004166666666666667,0.125,0.008064516129032258
115,cmt-confof,target2source:match_label_embeddings_OT(topn),16,4,660,0.006060606060606061,0.25,0.011834319526627219
116,cmt-confof,combined:match_label_embeddings_OT(topn),16,4,683,0.005856515373352855,0.25,0.011444921316165951
117,cmt-confof,source2target:label_features+embeddings_OT(topn),16,6,485,0.012371134020618556,0.375,0.023952095808383228
118,cmt-confof,target2source:label_features+embeddings_OT(topn),16,8,665,0.012030075187969926,0.5,0.023494860499265784
119,cmt-confof,combined:label_features+embeddings_OT(topn),16,8,688,0.011627906976744186,0.5,0.022727272727272728
120,confof-ekaw,source2target:match_label_features,20,9,11,0.8181818181818182,0.45,0.5806451612903225
121,confof-ekaw,target2source:match_label_features,20,9,11,0.8181818181818182,0.45,0.5806451612903225
122,confof-ekaw,combined:match_label_features,20,9,11,0.8181818181818182,0.45,0.5806451612903225
123,confof-ekaw,source2target:match_label_embeddings_OT(nn),20,6,9,0.6666666666666666,0.3,0.4137931034482758
124,confof-ekaw,target2source:match_label_embeddings_OT(nn),20,7,12,0.5833333333333334,0.35,0.4375
125,confof-ekaw,combined:match_label_embeddings_OT(nn),20,7,12,0.5833333333333334,0.35,0.4375
126,confof-ekaw,source2target:label_features+embeddings_OT(nn),20,15,20,0.75,0.75,0.75
127,confof-ekaw,target2source:label_features+embeddings_OT(nn),20,16,23,0.6956521739130435,0.8,0.7441860465116279
128,confof-ekaw,combined:label_features+embeddings_OT(nn),20,16,23,0.6956521739130435,0.8,0.7441860465116279
129,confof-ekaw,source2target:match_label_embeddings_OT(topn),20,8,540,0.014814814814814815,0.4,0.02857142857142857
130,confof-ekaw,target2source:match_label_embeddings_OT(topn),20,8,1240,0.0064516129032258064,0.4,0.012698412698412698
131,confof-ekaw,combined:match_label_embeddings_OT(topn),20,8,1276,0.006269592476489028,0.4,0.012345679012345678
132,confof-ekaw,source2target:label_features+embeddings_OT(topn),20,17,551,0.030852994555353903,0.85,0.0595446584938704
133,confof-ekaw,target2source:label_features+embeddings_OT(topn),20,17,1251,0.013589128697042365,0.85,0.026750590086546025
134,confof-ekaw,combined:label_features+embeddings_OT(topn),20,17,1287,0.01320901320901321,0.85,0.02601377199693956
135,cmt-sigkdd,source2target:match_label_features,12,8,8,1.0,0.6666666666666666,0.8
136,cmt-sigkdd,target2source:match_label_features,12,8,8,1.0,0.6666666666666666,0.8
137,cmt-sigkdd,combined:match_label_features,12,8,8,1.0,0.6666666666666666,0.8
138,cmt-sigkdd,source2target:match_label_embeddings_OT(nn),12,1,6,0.16666666666666666,0.08333333333333333,0.1111111111111111
139,cmt-sigkdd,target2source:match_label_embeddings_OT(nn),12,1,8,0.125,0.08333333333333333,0.1
140,cmt-sigkdd,combined:match_label_embeddings_OT(nn),12,1,8,0.125,0.08333333333333333,0.1
141,cmt-sigkdd,source2target:label_features+embeddings_OT(nn),12,9,14,0.6428571428571429,0.75,0.6923076923076924
142,cmt-sigkdd,target2source:label_features+embeddings_OT(nn),12,9,16,0.5625,0.75,0.6428571428571429
143,cmt-sigkdd,combined:label_features+embeddings_OT(nn),12,9,16,0.5625,0.75,0.6428571428571429
144,cmt-sigkdd,source2target:match_label_embeddings_OT(topn),12,2,420,0.004761904761904762,0.16666666666666666,0.00925925925925926
145,cmt-sigkdd,target2source:match_label_embeddings_OT(topn),12,2,820,0.0024390243902439024,0.16666666666666666,0.004807692307692308
146,cmt-sigkdd,combined:match_label_embeddings_OT(topn),12,2,831,0.0024067388688327317,0.16666666666666666,0.004744958481613286
147,cmt-sigkdd,source2target:label_features+embeddings_OT(topn),12,10,428,0.02336448598130841,0.8333333333333334,0.04545454545454545
148,cmt-sigkdd,target2source:label_features+embeddings_OT(topn),12,10,828,0.012077294685990338,0.8333333333333334,0.023809523809523808
149,cmt-sigkdd,combined:label_features+embeddings_OT(topn),12,10,839,0.011918951132300357,0.8333333333333334,0.02350176263219741
150,confof-edas,source2target:match_label_features,19,9,10,0.9,0.47368421052631576,0.6206896551724138
151,confof-edas,target2source:match_label_features,19,9,10,0.9,0.47368421052631576,0.6206896551724138
152,confof-edas,combined:match_label_features,19,9,10,0.9,0.47368421052631576,0.6206896551724138
153,confof-edas,source2target:match_label_embeddings_OT(nn),19,1,6,0.16666666666666666,0.05263157894736842,0.08
154,confof-edas,target2source:match_label_embeddings_OT(nn),19,2,10,0.2,0.10526315789473684,0.13793103448275862
155,confof-edas,combined:match_label_embeddings_OT(nn),19,2,10,0.2,0.10526315789473684,0.13793103448275862
156,confof-edas,source2target:label_features+embeddings_OT(nn),19,10,16,0.625,0.5263157894736842,0.5714285714285714
157,confof-edas,target2source:label_features+embeddings_OT(nn),19,11,20,0.55,0.5789473684210527,0.5641025641025641
158,confof-edas,combined:label_features+embeddings_OT(nn),19,11,20,0.55,0.5789473684210527,0.5641025641025641
159,confof-edas,source2target:match_label_embeddings_OT(topn),19,5,560,0.008928571428571428,0.2631578947368421,0.017271157167530225
160,confof-edas,target2source:match_label_embeddings_OT(topn),19,5,1860,0.002688172043010753,0.2631578947368421,0.00532197977647685
161,confof-edas,combined:match_label_embeddings_OT(topn),19,5,1860,0.002688172043010753,0.2631578947368421,0.00532197977647685
162,confof-edas,source2target:label_features+embeddings_OT(topn),19,14,570,0.02456140350877193,0.7368421052631579,0.04753820033955858
163,confof-edas,target2source:label_features+embeddings_OT(topn),19,14,1870,0.0074866310160427805,0.7368421052631579,0.014822657490735837
164,confof-edas,combined:label_features+embeddings_OT(topn),19,14,1870,0.0074866310160427805,0.7368421052631579,0.014822657490735837
165,cmt-ekaw,source2target:match_label_features,11,5,5,1.0,0.45454545454545453,0.625
166,cmt-ekaw,target2source:match_label_features,11,5,5,1.0,0.45454545454545453,0.625
167,cmt-ekaw,combined:match_label_features,11,5,5,1.0,0.45454545454545453,0.625
168,cmt-ekaw,source2target:match_label_embeddings_OT(nn),11,2,8,0.25,0.18181818181818182,0.21052631578947367
169,cmt-ekaw,target2source:match_label_embeddings_OT(nn),11,2,8,0.25,0.18181818181818182,0.21052631578947367
170,cmt-ekaw,combined:match_label_embeddings_OT(nn),11,2,8,0.25,0.18181818181818182,0.21052631578947367
171,cmt-ekaw,source2target:label_features+embeddings_OT(nn),11,7,13,0.5384615384615384,0.6363636363636364,0.5833333333333333
172,cmt-ekaw,target2source:label_features+embeddings_OT(nn),11,7,13,0.5384615384615384,0.6363636363636364,0.5833333333333333
173,cmt-ekaw,combined:label_features+embeddings_OT(nn),11,7,13,0.5384615384615384,0.6363636363636364,0.5833333333333333
174,cmt-ekaw,source2target:match_label_embeddings_OT(topn),11,3,480,0.00625,0.2727272727272727,0.012219959266802445
175,cmt-ekaw,target2source:match_label_embeddings_OT(topn),11,3,1360,0.0022058823529411764,0.2727272727272727,0.00437636761487965
176,cmt-ekaw,combined:match_label_embeddings_OT(topn),11,3,1370,0.0021897810218978104,0.2727272727272727,0.004344677769732078
177,cmt-ekaw,source2target:label_features+embeddings_OT(topn),11,8,485,0.016494845360824743,0.7272727272727273,0.03225806451612903
178,cmt-ekaw,target2source:label_features+embeddings_OT(topn),11,8,1365,0.005860805860805861,0.7272727272727273,0.011627906976744186
179,cmt-ekaw,combined:label_features+embeddings_OT(topn),11,8,1375,0.005818181818181818,0.7272727272727273,0.011544011544011544
180,conference-confof,source2target:match_label_features,15,7,8,0.875,0.4666666666666667,0.6086956521739131
181,conference-confof,target2source:match_label_features,15,7,8,0.875,0.4666666666666667,0.6086956521739131
182,conference-confof,combined:match_label_features,15,7,8,0.875,0.4666666666666667,0.6086956521739131
183,conference-confof,source2target:match_label_embeddings_OT(nn),15,2,9,0.2222222222222222,0.13333333333333333,0.16666666666666666
184,conference-confof,target2source:match_label_embeddings_OT(nn),15,1,8,0.125,0.06666666666666667,0.08695652173913043
185,conference-confof,combined:match_label_embeddings_OT(nn),15,2,9,0.2222222222222222,0.13333333333333333,0.16666666666666666
186,conference-confof,source2target:label_features+embeddings_OT(nn),15,9,17,0.5294117647058824,0.6,0.5625
187,conference-confof,target2source:label_features+embeddings_OT(nn),15,8,16,0.5,0.5333333333333333,0.5161290322580645
188,conference-confof,combined:label_features+embeddings_OT(nn),15,9,17,0.5294117647058824,0.6,0.5625
189,conference-confof,source2target:match_label_embeddings_OT(topn),15,3,1020,0.0029411764705882353,0.2,0.005797101449275362
190,conference-confof,target2source:match_label_embeddings_OT(topn),15,3,600,0.005,0.2,0.00975609756097561
191,conference-confof,combined:match_label_embeddings_OT(topn),15,3,1055,0.002843601895734597,0.2,0.005607476635514018
192,conference-confof,source2target:label_features+embeddings_OT(topn),15,10,1028,0.009727626459143969,0.6666666666666666,0.019175455417066157
193,conference-confof,target2source:label_features+embeddings_OT(topn),15,10,608,0.01644736842105263,0.6666666666666666,0.03210272873194221
194,conference-confof,combined:label_features+embeddings_OT(topn),15,10,1063,0.00940733772342427,0.6666666666666666,0.018552875695732836
195,confof-iasted,source2target:match_label_features,9,5,9,0.5555555555555556,0.5555555555555556,0.5555555555555556
196,confof-iasted,target2source:match_label_features,9,5,9,0.5555555555555556,0.5555555555555556,0.5555555555555556
197,confof-iasted,combined:match_label_features,9,5,9,0.5555555555555556,0.5555555555555556,0.5555555555555556
198,confof-iasted,source2target:match_label_embeddings_OT(nn),9,1,6,0.16666666666666666,0.1111111111111111,0.13333333333333333
199,confof-iasted,target2source:match_label_embeddings_OT(nn),9,2,16,0.125,0.2222222222222222,0.16
200,confof-iasted,combined:match_label_embeddings_OT(nn),9,2,16,0.125,0.2222222222222222,0.16
201,confof-iasted,source2target:label_features+embeddings_OT(nn),9,6,15,0.4,0.6666666666666666,0.5
202,confof-iasted,target2source:label_features+embeddings_OT(nn),9,7,25,0.28,0.7777777777777778,0.411764705882353
203,confof-iasted,combined:label_features+embeddings_OT(nn),9,7,25,0.28,0.7777777777777778,0.411764705882353
204,confof-iasted,source2target:match_label_embeddings_OT(topn),9,3,580,0.005172413793103448,0.3333333333333333,0.010186757215619693
205,confof-iasted,target2source:match_label_embeddings_OT(topn),9,3,2640,0.0011363636363636363,0.3333333333333333,0.0022650056625141564
206,confof-iasted,combined:match_label_embeddings_OT(topn),9,3,2640,0.0011363636363636363,0.3333333333333333,0.0022650056625141564
207,confof-iasted,source2target:label_features+embeddings_OT(topn),9,8,589,0.013582342954159592,0.8888888888888888,0.026755852842809364
208,confof-iasted,target2source:label_features+embeddings_OT(topn),9,8,2649,0.003020007550018875,0.8888888888888888,0.006019563581640331
209,confof-iasted,combined:label_features+embeddings_OT(topn),9,8,2649,0.003020007550018875,0.8888888888888888,0.006019563581640331
210,edas-sigkdd,source2target:match_label_features,15,8,8,1.0,0.5333333333333333,0.6956521739130435
211,edas-sigkdd,target2source:match_label_features,15,8,8,1.0,0.5333333333333333,0.6956521739130435
212,edas-sigkdd,combined:match_label_features,15,8,8,1.0,0.5333333333333333,0.6956521739130435
213,edas-sigkdd,source2target:match_label_embeddings_OT(nn),15,0,11,0.0,0.0,0.0
214,edas-sigkdd,target2source:match_label_embeddings_OT(nn),15,0,7,0.0,0.0,0.0
215,edas-sigkdd,combined:match_label_embeddings_OT(nn),15,0,11,0.0,0.0,0.0
216,edas-sigkdd,source2target:label_features+embeddings_OT(nn),15,8,19,0.42105263157894735,0.5333333333333333,0.47058823529411764
217,edas-sigkdd,target2source:label_features+embeddings_OT(nn),15,8,15,0.5333333333333333,0.5333333333333333,0.5333333333333333
218,edas-sigkdd,combined:label_features+embeddings_OT(nn),15,8,19,0.42105263157894735,0.5333333333333333,0.47058823529411764
219,edas-sigkdd,source2target:match_label_embeddings_OT(topn),15,3,1900,0.0015789473684210526,0.2,0.0031331592689295036
220,edas-sigkdd,target2source:match_label_embeddings_OT(topn),15,3,820,0.003658536585365854,0.2,0.007185628742514971
221,edas-sigkdd,combined:match_label_embeddings_OT(topn),15,3,1908,0.0015723270440251573,0.2,0.0031201248049922
222,edas-sigkdd,source2target:label_features+embeddings_OT(topn),15,11,1908,0.005765199161425576,0.7333333333333333,0.011440457618304731
223,edas-sigkdd,target2source:label_features+embeddings_OT(topn),15,11,828,0.013285024154589372,0.7333333333333333,0.026097271648873075
224,edas-sigkdd,combined:label_features+embeddings_OT(topn),15,11,1916,0.005741127348643006,0.7333333333333333,0.011393060590367684
225,conference-iasted,source2target:match_label_features,14,4,9,0.4444444444444444,0.2857142857142857,0.34782608695652173
226,conference-iasted,target2source:match_label_features,14,4,9,0.4444444444444444,0.2857142857142857,0.34782608695652173
227,conference-iasted,combined:match_label_features,14,4,9,0.4444444444444444,0.2857142857142857,0.34782608695652173
228,conference-iasted,source2target:match_label_embeddings_OT(nn),14,3,9,0.3333333333333333,0.21428571428571427,0.2608695652173913
229,conference-iasted,target2source:match_label_embeddings_OT(nn),14,3,11,0.2727272727272727,0.21428571428571427,0.24
230,conference-iasted,combined:match_label_embeddings_OT(nn),14,3,11,0.2727272727272727,0.21428571428571427,0.24
231,conference-iasted,source2target:label_features+embeddings_OT(nn),14,7,18,0.3888888888888889,0.5,0.4375
232,conference-iasted,target2source:label_features+embeddings_OT(nn),14,7,20,0.35,0.5,0.4117647058823529
233,conference-iasted,combined:label_features+embeddings_OT(nn),14,7,20,0.35,0.5,0.4117647058823529
234,conference-iasted,source2target:match_label_embeddings_OT(topn),14,4,1020,0.00392156862745098,0.2857142857142857,0.007736943907156673
235,conference-iasted,target2source:match_label_embeddings_OT(topn),14,7,2620,0.0026717557251908397,0.5,0.005315110098709188
236,conference-iasted,combined:match_label_embeddings_OT(topn),14,7,2624,0.0026676829268292685,0.5,0.00530705079605762
237,conference-iasted,source2target:label_features+embeddings_OT(topn),14,8,1029,0.007774538386783284,0.5714285714285714,0.015340364333652923
238,conference-iasted,target2source:label_features+embeddings_OT(topn),14,11,2629,0.0041841004184100415,0.7857142857142857,0.008323874385168368
239,conference-iasted,combined:label_features+embeddings_OT(topn),14,11,2633,0.004177744018230156,0.7857142857142857,0.00831129580657348
240,ekaw-sigkdd,source2target:match_label_features,11,8,8,1.0,0.7272727272727273,0.8421052631578947
241,ekaw-sigkdd,target2source:match_label_features,11,8,8,1.0,0.7272727272727273,0.8421052631578947
242,ekaw-sigkdd,combined:match_label_features,11,8,8,1.0,0.7272727272727273,0.8421052631578947
243,ekaw-sigkdd,source2target:match_label_embeddings_OT(nn),11,0,10,0.0,0.0,0.0
244,ekaw-sigkdd,target2source:match_label_embeddings_OT(nn),11,0,9,0.0,0.0,0.0
245,ekaw-sigkdd,combined:match_label_embeddings_OT(nn),11,0,10,0.0,0.0,0.0
246,ekaw-sigkdd,source2target:label_features+embeddings_OT(nn),11,8,18,0.4444444444444444,0.7272727272727273,0.5517241379310345
247,ekaw-sigkdd,target2source:label_features+embeddings_OT(nn),11,8,17,0.47058823529411764,0.7272727272727273,0.5714285714285714
