,test_case,method,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1
0,iasted-sigkdd,source2target:match_label_features,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147
1,iasted-sigkdd,target2source:match_label_features,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147
2,iasted-sigkdd,combined:match_label_features,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147
3,iasted-sigkdd,source2target:match_label_embeddings_OT(nn),15,1,11,0.09090909090909091,0.06666666666666667,0.07692307692307693
4,iasted-sigkdd,target2source:match_label_embeddings_OT(nn),15,0,8,0.0,0.0,0.0
5,iasted-sigkdd,combined:match_label_embeddings_OT(nn),15,1,11,0.09090909090909091,0.06666666666666667,0.07692307692307693
6,iasted-sigkdd,source2target:label_features+embeddings_OT(nn),15,12,23,0.5217391304347826,0.8,0.631578947368421
7,iasted-sigkdd,target2source:label_features+embeddings_OT(nn),15,11,20,0.55,0.7333333333333333,0.6285714285714286
8,iasted-sigkdd,combined:label_features+embeddings_OT(nn),15,12,23,0.5217391304347826,0.8,0.631578947368421
9,iasted-sigkdd,source2target:match_label_embeddings_OT(topn),15,4,2560,0.0015625,0.26666666666666666,0.0031067961165048546
10,iasted-sigkdd,target2source:match_label_embeddings_OT(topn),15,3,740,0.004054054054054054,0.2,0.007947019867549669
11,iasted-sigkdd,combined:match_label_embeddings_OT(topn),15,4,2567,0.0015582391897156214,0.26666666666666666,0.003098373353989156
12,iasted-sigkdd,source2target:label_features+embeddings_OT(topn),15,15,2572,0.00583203732503888,1.0,0.011596443757247778
13,iasted-sigkdd,target2source:label_features+embeddings_OT(topn),15,14,752,0.018617021276595744,0.9333333333333333,0.036505867014341595
14,iasted-sigkdd,combined:label_features+embeddings_OT(topn),15,15,2579,0.0058162078324932144,1.0,0.01156515034695451
15,confof-sigkdd,source2target:match_label_features,7,4,4,1.0,0.5714285714285714,0.7272727272727273
16,confof-sigkdd,target2source:match_label_features,7,4,4,1.0,0.5714285714285714,0.7272727272727273
17,confof-sigkdd,combined:match_label_features,7,4,4,1.0,0.5714285714285714,0.7272727272727273
18,confof-sigkdd,source2target:match_label_embeddings_OT(nn),7,0,7,0.0,0.0,0.0
19,confof-sigkdd,target2source:match_label_embeddings_OT(nn),7,0,7,0.0,0.0,0.0
20,confof-sigkdd,combined:match_label_embeddings_OT(nn),7,0,7,0.0,0.0,0.0
21,confof-sigkdd,source2target:label_features+embeddings_OT(nn),7,4,11,0.36363636363636365,0.5714285714285714,0.4444444444444444
22,confof-sigkdd,target2source:label_features+embeddings_OT(nn),7,4,11,0.36363636363636365,0.5714285714285714,0.4444444444444444
23,confof-sigkdd,combined:label_features+embeddings_OT(nn),7,4,11,0.36363636363636365,0.5714285714285714,0.4444444444444444
24,confof-sigkdd,source2target:match_label_embeddings_OT(topn),7,1,680,0.0014705882352941176,0.14285714285714285,0.002911208151382824
25,confof-sigkdd,target2source:match_label_embeddings_OT(topn),7,1,900,0.0011111111111111111,0.14285714285714285,0.002205071664829107
26,confof-sigkdd,combined:match_label_embeddings_OT(topn),7,1,945,0.0010582010582010583,0.14285714285714285,0.002100840336134454
27,confof-sigkdd,source2target:label_features+embeddings_OT(topn),7,5,684,0.007309941520467836,0.7142857142857143,0.014471780028943558
28,confof-sigkdd,target2source:label_features+embeddings_OT(topn),7,5,904,0.0055309734513274336,0.7142857142857143,0.01097694840834248
29,confof-sigkdd,combined:label_features+embeddings_OT(topn),7,5,949,0.005268703898840885,0.7142857142857143,0.010460251046025104
30,edas-ekaw,source2target:match_label_features,23,11,15,0.7333333333333333,0.4782608695652174,0.5789473684210527
31,edas-ekaw,target2source:match_label_features,23,11,15,0.7333333333333333,0.4782608695652174,0.5789473684210527
32,edas-ekaw,combined:match_label_features,23,11,15,0.7333333333333333,0.4782608695652174,0.5789473684210527
33,edas-ekaw,source2target:match_label_embeddings_OT(nn),23,4,16,0.25,0.17391304347826086,0.20512820512820512
