Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.4505714858632444,0.836559940431869,0.7906085289889794,0.5856900821060862,0.4505714858632444,0.836559940431869,0.7906085289889794,0.5856900821060862,2247,1650,2740,439,5201,40319544674,00:00:40
CLASSES,0.4505714858632444,0.836559940431869,0.7906085289889794,0.5856900821060862,0.4505714858632444,0.836559940431869,0.7906085289889794,0.5856900821060862,2247,1650,2740,439,5201,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
