,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,case,file
42,15,8,9,0.8888888888888888,0.5333333333333333,0.6666666666666666,conference-sigkdd,AMD-conference-sigkdd.rdf
43,15,11,13,0.8461538461538461,0.7333333333333333,0.7857142857142856,conference-sigkdd,LogMap-conference-sigkdd.rdf
44,15,8,9,0.8888888888888888,0.5333333333333333,0.6666666666666666,conference-sigkdd,LSMatch-conference-sigkdd.rdf
45,15,13,49,0.2653061224489796,0.8666666666666667,0.40625,conference-sigkdd,OTMapOnto-conference-sigkdd.rdf
46,15,5,6,0.8333333333333334,0.3333333333333333,0.47619047619047616,conference-sigkdd,KGMatcher-conference-sigkdd.rdf
47,15,12,15,0.8,0.8,0.8,conference-sigkdd,GMap-conference-sigkdd.rdf
48,15,8,10,0.8,0.5333333333333333,0.64,conference-sigkdd,LogMapLt-conference-sigkdd.rdf
49,15,8,10,0.8,0.5333333333333333,0.64,conference-sigkdd,Wiktionary-conference-sigkdd.rdf
50,15,8,13,0.6153846153846154,0.5333333333333333,0.5714285714285714,conference-sigkdd,ALOD2Vec-conference-sigkdd.rdf
51,15,8,11,0.7272727272727273,0.5333333333333333,0.6153846153846154,conference-sigkdd,FineTOM-conference-sigkdd.rdf
52,15,11,13,0.8461538461538461,0.7333333333333333,0.7857142857142856,conference-sigkdd,AML-conference-sigkdd.rdf
53,15,8,11,0.7272727272727273,0.5333333333333333,0.6153846153846154,conference-sigkdd,TOM-conference-sigkdd.rdf
54,15,9,12,0.75,0.6,0.6666666666666666,conference-sigkdd,ATMatcher-conference-sigkdd.rdf
55,19,9,11,0.8181818181818182,0.47368421052631576,0.6000000000000001,edas-iasted,GMap-edas-iasted.rdf
56,19,5,6,0.8333333333333334,0.2631578947368421,0.4,edas-iasted,KGMatcher-edas-iasted.rdf
57,19,5,6,0.8333333333333334,0.2631578947368421,0.4,edas-iasted,AMD-edas-iasted.rdf
58,19,8,10,0.8,0.42105263157894735,0.5517241379310345,edas-iasted,ATMatcher-edas-iasted.rdf
59,19,11,92,0.11956521739130435,0.5789473684210527,0.19819819819819823,edas-iasted,OTMapOnto-edas-iasted.rdf
60,19,7,8,0.875,0.3684210526315789,0.5185185185185185,edas-iasted,LogMap-edas-iasted.rdf
61,19,5,6,0.8333333333333334,0.2631578947368421,0.4,edas-iasted,LSMatch-edas-iasted.rdf
62,19,9,11,0.8181818181818182,0.47368421052631576,0.6000000000000001,edas-iasted,AML-edas-iasted.rdf
63,19,8,10,0.8,0.42105263157894735,0.5517241379310345,edas-iasted,Wiktionary-edas-iasted.rdf
64,19,7,10,0.7,0.3684210526315789,0.48275862068965514,edas-iasted,TOM-edas-iasted.rdf
65,19,7,8,0.875,0.3684210526315789,0.5185185185185185,edas-iasted,LogMapLt-edas-iasted.rdf
66,19,8,12,0.6666666666666666,0.42105263157894735,0.5161290322580645,edas-iasted,FineTOM-edas-iasted.rdf
67,19,10,14,0.7142857142857143,0.5263157894736842,0.6060606060606061,edas-iasted,ALOD2Vec-edas-iasted.rdf
68,15,8,11,0.7272727272727273,0.5333333333333333,0.6153846153846154,cmt-conference,LogMap-cmt-conference.rdf
69,15,10,39,0.2564102564102564,0.6666666666666666,0.37037037037037035,cmt-conference,OTMapOnto-cmt-conference.rdf
70,15,9,13,0.6923076923076923,0.6,0.6428571428571428,cmt-conference,FineTOM-cmt-conference.rdf
71,15,3,5,0.6,0.2,0.3,cmt-conference,LSMatch-cmt-conference.rdf
72,15,7,13,0.5384615384615384,0.4666666666666667,0.5,cmt-conference,Lily-cmt-conference.rdf
73,15,8,12,0.6666666666666666,0.5333333333333333,0.5925925925925926,cmt-conference,AML-cmt-conference.rdf
74,15,11,16,0.6875,0.7333333333333333,0.7096774193548386,cmt-conference,GMap-cmt-conference.rdf
75,15,3,5,0.6,0.2,0.3,cmt-conference,AMD-cmt-conference.rdf
76,15,5,9,0.5555555555555556,0.3333333333333333,0.4166666666666667,cmt-conference,LogMapLt-cmt-conference.rdf
77,15,5,10,0.5,0.3333333333333333,0.4,cmt-conference,ALOD2Vec-cmt-conference.rdf
78,15,5,8,0.625,0.3333333333333333,0.4347826086956522,cmt-conference,TOM-cmt-conference.rdf
79,15,6,13,0.46153846153846156,0.4,0.4285714285714286,cmt-conference,ATMatcher-cmt-conference.rdf
80,15,3,5,0.6,0.2,0.3,cmt-conference,KGMatcher-cmt-conference.rdf
81,15,6,9,0.6666666666666666,0.4,0.5,cmt-conference,Wiktionary-cmt-conference.rdf
82,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,KGMatcher-cmt-iasted.rdf
83,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,AMD-cmt-iasted.rdf
84,4,4,7,0.5714285714285714,1.0,0.7272727272727273,cmt-iasted,FineTOM-cmt-iasted.rdf
85,4,4,6,0.6666666666666666,1.0,0.8,cmt-iasted,Wiktionary-cmt-iasted.rdf
86,4,4,17,0.23529411764705882,1.0,0.38095238095238093,cmt-iasted,OTMapOnto-cmt-iasted.rdf
87,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,LogMap-cmt-iasted.rdf
88,4,4,8,0.5,1.0,0.6666666666666666,cmt-iasted,ALOD2Vec-cmt-iasted.rdf
89,4,4,6,0.6666666666666666,1.0,0.8,cmt-iasted,TOM-cmt-iasted.rdf
90,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,LogMapLt-cmt-iasted.rdf
91,4,4,7,0.5714285714285714,1.0,0.7272727272727273,cmt-iasted,GMap-cmt-iasted.rdf
92,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,LSMatch-cmt-iasted.rdf
93,4,4,5,0.8,1.0,0.8888888888888888,cmt-iasted,AML-cmt-iasted.rdf
94,4,4,6,0.6666666666666666,1.0,0.8,cmt-iasted,ATMatcher-cmt-iasted.rdf
95,16,6,8,0.75,0.375,0.5,cmt-confof,FineTOM-cmt-confof.rdf
96,16,4,5,0.8,0.25,0.38095238095238093,cmt-confof,AMD-cmt-confof.rdf
97,16,4,5,0.8,0.25,0.38095238095238093,cmt-confof,LSMatch-cmt-confof.rdf
98,16,6,9,0.6666666666666666,0.375,0.4800000000000001,cmt-confof,LogMapLt-cmt-confof.rdf
99,16,9,15,0.6,0.5625,0.5806451612903225,cmt-confof,Wiktionary-cmt-confof.rdf
100,16,9,10,0.9,0.5625,0.6923076923076923,cmt-confof,AML-cmt-confof.rdf
101,16,6,8,0.75,0.375,0.5,cmt-confof,TOM-cmt-confof.rdf
102,16,6,10,0.6,0.375,0.46153846153846156,cmt-confof,ALOD2Vec-cmt-confof.rdf
103,16,5,6,0.8333333333333334,0.3125,0.45454545454545453,cmt-confof,LogMap-cmt-confof.rdf
104,16,4,5,0.8,0.25,0.38095238095238093,cmt-confof,KGMatcher-cmt-confof.rdf
105,16,5,8,0.625,0.3125,0.41666666666666663,cmt-confof,ATMatcher-cmt-confof.rdf
106,16,6,9,0.6666666666666666,0.375,0.4800000000000001,cmt-confof,GMap-cmt-confof.rdf
107,16,4,6,0.6666666666666666,0.25,0.36363636363636365,cmt-confof,Lily-cmt-confof.rdf
108,16,10,38,0.2631578947368421,0.625,0.37037037037037035,cmt-confof,OTMapOnto-cmt-confof.rdf
109,20,10,11,0.9090909090909091,0.5,0.6451612903225806,confof-ekaw,ATMatcher-confof-ekaw.rdf
110,20,15,18,0.8333333333333334,0.75,0.7894736842105263,confof-ekaw,Lily-confof-ekaw.rdf
111,20,11,14,0.7857142857142857,0.55,0.6470588235294118,confof-ekaw,ALOD2Vec-confof-ekaw.rdf
112,20,17,21,0.8095238095238095,0.85,0.8292682926829267,confof-ekaw,GMap-confof-ekaw.rdf
113,20,10,13,0.7692307692307693,0.5,0.6060606060606061,confof-ekaw,LogMapLt-confof-ekaw.rdf
114,20,8,9,0.8888888888888888,0.4,0.5517241379310345,confof-ekaw,LSMatch-confof-ekaw.rdf
115,20,11,13,0.8461538461538461,0.55,0.6666666666666666,confof-ekaw,TOM-confof-ekaw.rdf
116,20,7,8,0.875,0.35,0.5,confof-ekaw,KGMatcher-confof-ekaw.rdf
117,20,10,11,0.9090909090909091,0.5,0.6451612903225806,confof-ekaw,AMD-confof-ekaw.rdf
118,20,14,16,0.875,0.7,0.7777777777777779,confof-ekaw,FineTOM-confof-ekaw.rdf
119,20,16,28,0.5714285714285714,0.8,0.6666666666666666,confof-ekaw,OTMapOnto-confof-ekaw.rdf
120,20,14,15,0.9333333333333333,0.7,0.8,confof-ekaw,LogMap-confof-ekaw.rdf
121,20,16,17,0.9411764705882353,0.8,0.8648648648648649,confof-ekaw,AML-confof-ekaw.rdf
122,20,11,13,0.8461538461538461,0.55,0.6666666666666666,confof-ekaw,Wiktionary-confof-ekaw.rdf
123,12,9,12,0.75,0.75,0.75,cmt-sigkdd,ALOD2Vec-cmt-sigkdd.rdf
124,12,12,21,0.5714285714285714,1.0,0.7272727272727273,cmt-sigkdd,OTMapOnto-cmt-sigkdd.rdf
125,12,6,6,1.0,0.5,0.6666666666666666,cmt-sigkdd,LSMatch-cmt-sigkdd.rdf
126,12,6,6,1.0,0.5,0.6666666666666666,cmt-sigkdd,AMD-cmt-sigkdd.rdf
127,12,8,9,0.8888888888888888,0.6666666666666666,0.7619047619047619,cmt-sigkdd,ATMatcher-cmt-sigkdd.rdf
128,12,10,13,0.7692307692307693,0.8333333333333334,0.8,cmt-sigkdd,GMap-cmt-sigkdd.rdf
129,12,9,12,0.75,0.75,0.75,cmt-sigkdd,Wiktionary-cmt-sigkdd.rdf
130,12,8,10,0.8,0.6666666666666666,0.7272727272727273,cmt-sigkdd,FineTOM-cmt-sigkdd.rdf
131,12,6,9,0.6666666666666666,0.5,0.5714285714285714,cmt-sigkdd,Lily-cmt-sigkdd.rdf
132,12,10,10,1.0,0.8333333333333334,0.9090909090909091,cmt-sigkdd,LogMap-cmt-sigkdd.rdf
133,12,6,6,1.0,0.5,0.6666666666666666,cmt-sigkdd,KGMatcher-cmt-sigkdd.rdf
134,12,8,9,0.8888888888888888,0.6666666666666666,0.7619047619047619,cmt-sigkdd,LogMapLt-cmt-sigkdd.rdf
135,12,8,10,0.8,0.6666666666666666,0.7272727272727273,cmt-sigkdd,TOM-cmt-sigkdd.rdf
136,12,11,12,0.9166666666666666,0.9166666666666666,0.9166666666666665,cmt-sigkdd,AML-cmt-sigkdd.rdf
137,19,10,13,0.7692307692307693,0.5263157894736842,0.625,confof-edas,LogMap-confof-edas.rdf
138,19,8,9,0.8888888888888888,0.42105263157894735,0.5714285714285714,confof-edas,AMD-confof-edas.rdf
139,19,11,20,0.55,0.5789473684210527,0.5641025641025641,confof-edas,ALOD2Vec-confof-edas.rdf
140,19,11,18,0.6111111111111112,0.5789473684210527,0.5945945945945946,confof-edas,FineTOM-confof-edas.rdf
141,19,11,18,0.6111111111111112,0.5789473684210527,0.5945945945945946,confof-edas,TOM-confof-edas.rdf
142,19,13,29,0.4482758620689655,0.6842105263157895,0.5416666666666666,confof-edas,OTMapOnto-confof-edas.rdf
143,19,8,9,0.8888888888888888,0.42105263157894735,0.5714285714285714,confof-edas,KGMatcher-confof-edas.rdf
144,19,11,13,0.8461538461538461,0.5789473684210527,0.6875,confof-edas,ATMatcher-confof-edas.rdf
145,19,8,9,0.8888888888888888,0.42105263157894735,0.5714285714285714,confof-edas,LSMatch-confof-edas.rdf
146,19,7,9,0.7777777777777778,0.3684210526315789,0.5,confof-edas,Lily-confof-edas.rdf
147,19,11,12,0.9166666666666666,0.5789473684210527,0.7096774193548386,confof-edas,AML-confof-edas.rdf
148,19,14,22,0.6363636363636364,0.7368421052631579,0.6829268292682926,confof-edas,Wiktionary-confof-edas.rdf
149,19,11,19,0.5789473684210527,0.5789473684210527,0.5789473684210527,confof-edas,LogMapLt-confof-edas.rdf
150,19,11,20,0.55,0.5789473684210527,0.5641025641025641,confof-edas,GMap-confof-edas.rdf
151,11,5,8,0.625,0.45454545454545453,0.5263157894736842,cmt-ekaw,ATMatcher-cmt-ekaw.rdf
152,11,5,9,0.5555555555555556,0.45454545454545453,0.5,cmt-ekaw,LogMapLt-cmt-ekaw.rdf
153,11,5,5,1.0,0.45454545454545453,0.625,cmt-ekaw,LSMatch-cmt-ekaw.rdf
154,11,5,5,1.0,0.45454545454545453,0.625,cmt-ekaw,AMD-cmt-ekaw.rdf
155,11,5,10,0.5,0.45454545454545453,0.47619047619047616,cmt-ekaw,Wiktionary-cmt-ekaw.rdf
156,11,5,5,1.0,0.45454545454545453,0.625,cmt-ekaw,KGMatcher-cmt-ekaw.rdf
157,11,7,20,0.35,0.6363636363636364,0.45161290322580644,cmt-ekaw,OTMapOnto-cmt-ekaw.rdf
158,11,6,8,0.75,0.5454545454545454,0.631578947368421,cmt-ekaw,LogMap-cmt-ekaw.rdf
159,11,5,9,0.5555555555555556,0.45454545454545453,0.5,cmt-ekaw,Lily-cmt-ekaw.rdf
160,11,6,9,0.6666666666666666,0.5454545454545454,0.6,cmt-ekaw,FineTOM-cmt-ekaw.rdf
161,11,6,12,0.5,0.5454545454545454,0.5217391304347826,cmt-ekaw,ALOD2Vec-cmt-ekaw.rdf
162,11,5,8,0.625,0.45454545454545453,0.5263157894736842,cmt-ekaw,TOM-cmt-ekaw.rdf
163,11,6,10,0.6,0.5454545454545454,0.5714285714285714,cmt-ekaw,GMap-cmt-ekaw.rdf
164,11,6,8,0.75,0.5454545454545454,0.631578947368421,cmt-ekaw,AML-cmt-ekaw.rdf
165,15,9,11,0.8181818181818182,0.6,0.6923076923076923,conference-confof,ATMatcher-conference-confof.rdf
166,15,12,16,0.75,0.8,0.7741935483870969,conference-confof,GMap-conference-confof.rdf
167,15,9,14,0.6428571428571429,0.6,0.6206896551724138,conference-confof,ALOD2Vec-conference-confof.rdf
168,15,13,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,conference-confof,AML-conference-confof.rdf
169,15,9,10,0.9,0.6,0.72,conference-confof,LogMapLt-conference-confof.rdf
170,15,7,8,0.875,0.4666666666666667,0.6086956521739131,conference-confof,AMD-conference-confof.rdf
171,15,9,12,0.75,0.6,0.6666666666666666,conference-confof,FineTOM-conference-confof.rdf
172,15,11,13,0.8461538461538461,0.7333333333333333,0.7857142857142856,conference-confof,LogMap-conference-confof.rdf
173,15,7,8,0.875,0.4666666666666667,0.6086956521739131,conference-confof,LSMatch-conference-confof.rdf
174,15,6,9,0.6666666666666666,0.4,0.5,conference-confof,Lily-conference-confof.rdf
175,15,12,49,0.24489795918367346,0.8,0.375,conference-confof,OTMapOnto-conference-confof.rdf
176,15,9,11,0.8181818181818182,0.6,0.6923076923076923,conference-confof,TOM-conference-confof.rdf
177,15,9,12,0.75,0.6,0.6666666666666666,conference-confof,Wiktionary-conference-confof.rdf
178,15,7,8,0.875,0.4666666666666667,0.6086956521739131,conference-confof,KGMatcher-conference-confof.rdf
179,9,6,13,0.46153846153846156,0.6666666666666666,0.5454545454545455,confof-iasted,Lily-confof-iasted.rdf
180,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted,LSMatch-confof-iasted.rdf
181,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted,KGMatcher-confof-iasted.rdf
182,9,7,26,0.2692307692307692,0.7777777777777778,0.4,confof-iasted,OTMapOnto-confof-iasted.rdf
183,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted,LogMap-confof-iasted.rdf
184,9,5,6,0.8333333333333334,0.5555555555555556,0.6666666666666666,confof-iasted,TOM-confof-iasted.rdf
185,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted,LogMapLt-confof-iasted.rdf
186,9,6,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,confof-iasted,FineTOM-confof-iasted.rdf
187,9,4,5,0.8,0.4444444444444444,0.5714285714285714,confof-iasted,AML-confof-iasted.rdf
188,9,6,10,0.6,0.6666666666666666,0.631578947368421,confof-iasted,GMap-confof-iasted.rdf
189,9,4,6,0.6666666666666666,0.4444444444444444,0.5333333333333333,confof-iasted,Wiktionary-confof-iasted.rdf
190,9,4,4,1.0,0.4444444444444444,0.6153846153846154,confof-iasted,AMD-confof-iasted.rdf
191,9,4,6,0.6666666666666666,0.4444444444444444,0.5333333333333333,confof-iasted,ALOD2Vec-confof-iasted.rdf
192,9,4,7,0.5714285714285714,0.4444444444444444,0.5,confof-iasted,ATMatcher-confof-iasted.rdf
193,15,7,8,0.875,0.4666666666666667,0.6086956521739131,edas-sigkdd,LogMap-edas-sigkdd.rdf
194,15,7,7,1.0,0.4666666666666667,0.6363636363636364,edas-sigkdd,ATMatcher-edas-sigkdd.rdf
195,15,7,8,0.875,0.4666666666666667,0.6086956521739131,edas-sigkdd,TOM-edas-sigkdd.rdf
196,15,10,10,1.0,0.6666666666666666,0.8,edas-sigkdd,AML-edas-sigkdd.rdf
197,15,7,7,1.0,0.4666666666666667,0.6363636363636364,edas-sigkdd,KGMatcher-edas-sigkdd.rdf
198,15,7,7,1.0,0.4666666666666667,0.6363636363636364,edas-sigkdd,LSMatch-edas-sigkdd.rdf
199,15,7,9,0.7777777777777778,0.4666666666666667,0.5833333333333334,edas-sigkdd,GMap-edas-sigkdd.rdf
200,15,9,13,0.6923076923076923,0.6,0.6428571428571428,edas-sigkdd,ALOD2Vec-edas-sigkdd.rdf
201,15,7,8,0.875,0.4666666666666667,0.6086956521739131,edas-sigkdd,LogMapLt-edas-sigkdd.rdf
202,15,7,8,0.875,0.4666666666666667,0.6086956521739131,edas-sigkdd,FineTOM-edas-sigkdd.rdf
203,15,11,58,0.1896551724137931,0.7333333333333333,0.3013698630136986,edas-sigkdd,OTMapOnto-edas-sigkdd.rdf
204,15,7,7,1.0,0.4666666666666667,0.6363636363636364,edas-sigkdd,AMD-edas-sigkdd.rdf
205,15,4,6,0.6666666666666666,0.26666666666666666,0.38095238095238093,edas-sigkdd,Lily-edas-sigkdd.rdf
206,15,7,8,0.875,0.4666666666666667,0.6086956521739131,edas-sigkdd,Wiktionary-edas-sigkdd.rdf
207,14,4,7,0.5714285714285714,0.2857142857142857,0.38095238095238093,conference-iasted,TOM-conference-iasted.rdf
208,14,4,8,0.5,0.2857142857142857,0.36363636363636365,conference-iasted,FineTOM-conference-iasted.rdf
209,14,4,5,0.8,0.2857142857142857,0.42105263157894735,conference-iasted,AMD-conference-iasted.rdf
210,14,7,8,0.875,0.5,0.6363636363636364,conference-iasted,LogMap-conference-iasted.rdf
211,14,5,6,0.8333333333333334,0.35714285714285715,0.5,conference-iasted,AML-conference-iasted.rdf
212,14,4,5,0.8,0.2857142857142857,0.42105263157894735,conference-iasted,LogMapLt-conference-iasted.rdf
213,14,7,32,0.21875,0.5,0.30434782608695654,conference-iasted,OTMapOnto-conference-iasted.rdf
214,14,5,10,0.5,0.35714285714285715,0.4166666666666667,conference-iasted,ATMatcher-conference-iasted.rdf
215,14,7,9,0.7777777777777778,0.5,0.6086956521739131,conference-iasted,GMap-conference-iasted.rdf
216,14,4,8,0.5,0.2857142857142857,0.36363636363636365,conference-iasted,Wiktionary-conference-iasted.rdf
217,14,4,5,0.8,0.2857142857142857,0.42105263157894735,conference-iasted,LSMatch-conference-iasted.rdf
218,14,4,11,0.36363636363636365,0.2857142857142857,0.32,conference-iasted,ALOD2Vec-conference-iasted.rdf
219,14,4,5,0.8,0.2857142857142857,0.42105263157894735,conference-iasted,KGMatcher-conference-iasted.rdf
220,11,7,7,1.0,0.6363636363636364,0.7777777777777779,ekaw-sigkdd,KGMatcher-ekaw-sigkdd.rdf
221,11,7,8,0.875,0.6363636363636364,0.7368421052631579,ekaw-sigkdd,LogMap-ekaw-sigkdd.rdf
222,11,7,9,0.7777777777777778,0.6363636363636364,0.7000000000000001,ekaw-sigkdd,Wiktionary-ekaw-sigkdd.rdf
223,11,7,7,1.0,0.6363636363636364,0.7777777777777779,ekaw-sigkdd,LSMatch-ekaw-sigkdd.rdf
224,11,8,10,0.8,0.7272727272727273,0.7619047619047619,ekaw-sigkdd,GMap-ekaw-sigkdd.rdf
225,11,7,8,0.875,0.6363636363636364,0.7368421052631579,ekaw-sigkdd,LogMapLt-ekaw-sigkdd.rdf
226,11,7,10,0.7,0.6363636363636364,0.6666666666666666,ekaw-sigkdd,ALOD2Vec-ekaw-sigkdd.rdf
227,11,7,8,0.875,0.6363636363636364,0.7368421052631579,ekaw-sigkdd,AMD-ekaw-sigkdd.rdf
228,11,8,10,0.8,0.7272727272727273,0.7619047619047619,ekaw-sigkdd,ATMatcher-ekaw-sigkdd.rdf
229,11,7,9,0.7777777777777778,0.6363636363636364,0.7000000000000001,ekaw-sigkdd,FineTOM-ekaw-sigkdd.rdf
230,11,4,9,0.4444444444444444,0.36363636363636365,0.4,ekaw-sigkdd,Lily-ekaw-sigkdd.rdf
231,11,9,51,0.17647058823529413,0.8181818181818182,0.2903225806451613,ekaw-sigkdd,OTMapOnto-ekaw-sigkdd.rdf
232,11,8,10,0.8,0.7272727272727273,0.7619047619047619,ekaw-sigkdd,AML-ekaw-sigkdd.rdf
233,11,7,8,0.875,0.6363636363636364,0.7368421052631579,ekaw-sigkdd,TOM-ekaw-sigkdd.rdf
234,10,7,13,0.5384615384615384,0.7,0.6086956521739131,ekaw-iasted,Lily-ekaw-iasted.rdf
235,10,6,10,0.6,0.6,0.6,ekaw-iasted,FineTOM-ekaw-iasted.rdf
236,10,7,8,0.875,0.7,0.7777777777777779,ekaw-iasted,AML-ekaw-iasted.rdf
237,10,6,8,0.75,0.6,0.6666666666666666,ekaw-iasted,TOM-ekaw-iasted.rdf
238,10,7,10,0.7,0.7,0.7,ekaw-iasted,ATMatcher-ekaw-iasted.rdf
239,10,6,9,0.6666666666666666,0.6,0.631578947368421,ekaw-iasted,Wiktionary-ekaw-iasted.rdf
240,10,6,6,1.0,0.6,0.7499999999999999,ekaw-iasted,LSMatch-ekaw-iasted.rdf
241,10,6,6,1.0,0.6,0.7499999999999999,ekaw-iasted,AMD-ekaw-iasted.rdf
242,10,9,79,0.11392405063291139,0.9,0.20224719101123595,ekaw-iasted,OTMapOnto-ekaw-iasted.rdf
243,10,5,5,1.0,0.5,0.6666666666666666,ekaw-iasted,KGMatcher-ekaw-iasted.rdf
244,10,7,13,0.5384615384615384,0.7,0.6086956521739131,ekaw-iasted,GMap-ekaw-iasted.rdf
245,10,7,9,0.7777777777777778,0.7,0.7368421052631579,ekaw-iasted,LogMap-ekaw-iasted.rdf
246,10,6,15,0.4,0.6,0.48,ekaw-iasted,ALOD2Vec-ekaw-iasted.rdf
247,10,6,10,0.6,0.6,0.6,ekaw-iasted,LogMapLt-ekaw-iasted.rdf
