,numOfRefs,numOfCorrectlyPredicted,numOfPredicted,precision,recall,f1,case,file
0,15,11,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,iasted-sigkdd,LogMapLt-iasted-sigkdd.rdf
1,15,12,20,0.6,0.8,0.6857142857142856,iasted-sigkdd,GMap-iasted-sigkdd.rdf
2,15,11,15,0.7333333333333333,0.7333333333333333,0.7333333333333333,iasted-sigkdd,TOM-iasted-sigkdd.rdf
3,15,13,55,0.23636363636363636,0.8666666666666667,0.3714285714285714,iasted-sigkdd,OTMapOnto-iasted-sigkdd.rdf
4,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147,iasted-sigkdd,KGMatcher-iasted-sigkdd.rdf
5,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147,iasted-sigkdd,LSMatch-iasted-sigkdd.rdf
6,15,11,17,0.6470588235294118,0.7333333333333333,0.6875,iasted-sigkdd,FineTOM-iasted-sigkdd.rdf
7,15,10,18,0.5555555555555556,0.6666666666666666,0.6060606060606061,iasted-sigkdd,Lily-iasted-sigkdd.rdf
8,15,11,12,0.9166666666666666,0.7333333333333333,0.8148148148148147,iasted-sigkdd,AMD-iasted-sigkdd.rdf
9,15,13,16,0.8125,0.8666666666666667,0.8387096774193549,iasted-sigkdd,AML-iasted-sigkdd.rdf
10,15,13,17,0.7647058823529411,0.8666666666666667,0.8125,iasted-sigkdd,LogMap-iasted-sigkdd.rdf
11,15,12,16,0.75,0.8,0.7741935483870969,iasted-sigkdd,Wiktionary-iasted-sigkdd.rdf
12,15,13,18,0.7222222222222222,0.8666666666666667,0.787878787878788,iasted-sigkdd,ALOD2Vec-iasted-sigkdd.rdf
13,15,12,14,0.8571428571428571,0.8,0.8275862068965516,iasted-sigkdd,ATMatcher-iasted-sigkdd.rdf
14,7,5,5,1.0,0.7142857142857143,0.8333333333333334,confof-sigkdd,Wiktionary-confof-sigkdd.rdf
15,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,KGMatcher-confof-sigkdd.rdf
16,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,ATMatcher-confof-sigkdd.rdf
17,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,FineTOM-confof-sigkdd.rdf
18,7,5,6,0.8333333333333334,0.7142857142857143,0.7692307692307694,confof-sigkdd,GMap-confof-sigkdd.rdf
19,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,AMD-confof-sigkdd.rdf
20,7,5,5,1.0,0.7142857142857143,0.8333333333333334,confof-sigkdd,LogMap-confof-sigkdd.rdf
21,7,5,36,0.1388888888888889,0.7142857142857143,0.23255813953488372,confof-sigkdd,OTMapOnto-confof-sigkdd.rdf
22,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,LogMapLt-confof-sigkdd.rdf
23,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,LSMatch-confof-sigkdd.rdf
24,7,4,4,1.0,0.5714285714285714,0.7272727272727273,confof-sigkdd,TOM-confof-sigkdd.rdf
25,7,4,5,0.8,0.5714285714285714,0.6666666666666666,confof-sigkdd,ALOD2Vec-confof-sigkdd.rdf
26,7,1,5,0.2,0.14285714285714285,0.16666666666666666,confof-sigkdd,Lily-confof-sigkdd.rdf
27,7,6,6,1.0,0.8571428571428571,0.9230769230769229,confof-sigkdd,AML-confof-sigkdd.rdf
28,23,11,27,0.4074074074074074,0.4782608695652174,0.44000000000000006,edas-ekaw,ALOD2Vec-edas-ekaw.rdf
29,23,11,19,0.5789473684210527,0.4782608695652174,0.5238095238095238,edas-ekaw,Lily-edas-ekaw.rdf
30,23,12,18,0.6666666666666666,0.5217391304347826,0.5853658536585366,edas-ekaw,ATMatcher-edas-ekaw.rdf
31,23,10,17,0.5882352941176471,0.43478260869565216,0.5,edas-ekaw,LogMapLt-edas-ekaw.rdf
32,23,12,19,0.631578947368421,0.5217391304347826,0.5714285714285714,edas-ekaw,FineTOM-edas-ekaw.rdf
33,23,10,16,0.625,0.43478260869565216,0.5128205128205128,edas-ekaw,TOM-edas-ekaw.rdf
34,23,12,18,0.6666666666666666,0.5217391304347826,0.5853658536585366,edas-ekaw,Wiktionary-edas-ekaw.rdf
35,23,5,7,0.7142857142857143,0.21739130434782608,0.3333333333333333,edas-ekaw,LSMatch-edas-ekaw.rdf
36,23,13,78,0.16666666666666666,0.5652173913043478,0.25742574257425743,edas-ekaw,OTMapOnto-edas-ekaw.rdf
37,23,5,8,0.625,0.21739130434782608,0.32258064516129026,edas-ekaw,AMD-edas-ekaw.rdf
38,23,5,7,0.7142857142857143,0.21739130434782608,0.3333333333333333,edas-ekaw,KGMatcher-edas-ekaw.rdf
39,23,11,14,0.7857142857142857,0.4782608695652174,0.5945945945945946,edas-ekaw,AML-edas-ekaw.rdf
40,23,14,24,0.5833333333333334,0.6086956521739131,0.5957446808510639,edas-ekaw,GMap-edas-ekaw.rdf
41,23,12,16,0.75,0.5217391304347826,0.6153846153846154,edas-ekaw,LogMap-edas-ekaw.rdf
