Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime(HH:MM:SS)
ALL,0.6456692913385826,0.8113456464379947,0.511265164644714,0.7190879859690149,0.6456692913385826,0.8113456464379947,0.511265164644714,0.7190879859690149,1230,295,675,286,1905,15841275775,00:00:15
CLASSES,0.6463478717813977,0.8113456464379947,0.511265164644714,0.7195086282538753,0.6463478717813977,0.8113456464379947,0.511265164644714,0.7195086282538753,1230,295,673,286,1903,-,-
PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,2,-,-
INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
